trait;lmbd;se
1;1;0.8
1;1.1;0.7
1;0.9;0.6
1;1.2;0.9
1;1.1;1
1;0.9;0.8
1;1.3;0.7
1;1;0.6
1;0.8;0.7
1;1.4;0.8
1;1.1;0.8
1;1.3;1.1
2;1;0.6
2;1.2;0.8
2;1.7;1.3
2;1.5;0.8
2;1.1;0.5
2;1.4;1
2;0.8;0.5
2;0.9;0.8
2;1.8;1.4
2;1.3;0.7
2;1.3;0.7
2;1.1;0.8
3;1;0.7
3;1.2;0.8
3;1.4;1.2
3;1.1;0.9
3;1.2;1
3;1.2;0.8
3;0.8;0.7
3;1.3;0.7
3;1.2;0.8
3;1.1;0.9
3;1.2;0.9
3;0.8;0.8
4;1;0.7
4;1.1;0.8
4;1.2;0.5
4;1.4;0.8
4;1.6;1.1
4;1.5;0.7
4;1.5;1
4;1.5;0.7
4;1.7;1.2
4;1;0.8
4;1.4;0.9
4;1.1;0.8
5;1;0.9
5;1.6;1.3
5;1.2;0.6
5;1.2;0.9
5;1.1;0.8
5;1.2;0.7
5;1.1;0.9
5;1;0.6
5;1.5;0.8
5;1.4;1.1
5;1.7;0.9
5;1.3;0.6
